Planet,Title,Authors,Year of Publication,Summary,Length,Goodreads Id,polarity,subjectivity
The Moon,"Somnium: The Dream, or Posthumous Work on Lunar Astronomy",Johannes Kepler,1634,"Somnium (Latin for ""The Dream"") is a fantasy written between 1620 and 1630 by Johannes Kepler in which a student of Tycho Brahe is transported to the Moon by occult forces. It presents a detailed imaginative description of how the earth might look when viewed from the moon, and is considered the first serious scientific treatise on lunar astronomy. Carl Sagan and Isaac Asimov have referred to it as the first work of science fiction.  Somnium began as a student dissertation in which Kepler defended the Copernican doctrine of the motion of the Earth, suggesting that an observer on the Moon would find the planet's movements as clearly visible as the Moon's activity is to the Earth's inhabitants. Nearly 20 years later, Kepler added the dream framework, and after another decade, he drafted a series of explanatory notes reflecting upon his turbulent career and the stages of his intellectual development. The book was edited by his heirs, including Jacob Bartsch, after Kepler's death in 1630, and was published posthumously in 1634.",229,5984974,0.079262147,0.417508558
The Moon,The Man in the Moone,"Francis Godwin, William Poole",1638,"The Man in the Moone, written by Francis Godwin, was an influential work first published in 1638. In this fanciful tale the narrator, Domingo Gonsales, tells how he used a flock of birds to take him to the Moon. Here he discovers that the citizens of the Moon are Christians who live in a Utopian paradise.",176,8385238,0.148144234,0.504852785
The Moon,The Other World: The Comical History of the States and Empires of the World of the Moon (Earliest Sci-Fi Collection),"Cyrano de Bergerac, Archibald Lovell",1657,"In The Other World, French dramatist Cyrano de Bergerac tells of his fictional attempts to reach a lunar civilization that sees the Earth as its own moon, and the curious beings he find when he finally reaches there. This satirical novel, poking fun at the social and political mores of the time, is one of the earliest science fiction stories â€“ including the first envisioning of a rocket-powered space flight, all the way back in 1657! â€“ and inspired early science fiction including Jonathan Swiftâ€™s story Gulliverâ€™s Travels. ",188,33237427,0.13482219,0.496042078
The Moon,The Consolidator,Daniel Defoe,1705,"Daniel Defoe was a writer, journalist and spy. He is known for being one of the first authors to write a novel. The Consolidator combines fantasy with contemporary political and social satire. The consolidator was a means of transport used to get to the moon. The consolidator is a chariot with two feathered winged creatures. The two creatures represent the houses of parliament. Each feather is an MP. The houses must consolidate to pass bills. The story can be read as an allegory or just read for its literary pleasure.",156,2754397,0.138616046,0.511232494
Mars,The Speedy Journey,"Eberhard Christian Kindermann, Dwight R Decker",1744,"On July 10, 1744, a German astronomer named Eberhard Christian Kindermann thought he had made the discovery of a lifetime - a never before seen moon orbiting the planet Mars, more than 130 years before any were officially observed. Instead of announcing his discovery the usual way, Kindermann chose to dramatize it by writing a story about an interplanetary voyage to his alleged Martian moon. The result was The Speedy Journey on the Air-Ship to the Upper World, perhaps the first story ever written about a trip to Mars (or at least somewhere close by). By turns quirky and even bizarre, the story is still astonishing today for its sheer imagination as a work of pioneering science fiction. Besides traveling through space and encountering alien life forms on another world, Kindermann's heroes even use balloons for aerial transportation nearly forty years before the actual first balloon flight in 1783. Never before translated into English, little known outside its native country, and usually relegated to uncertain references in footnotes and bibliographies, The Speedy Journey is now available after 270 years to science-fiction fans and historians, astronomy buffs, and everyone else in ""the curious lower world,"" as the author would have said. This edition includes the complete translated text of the original story as well as essays by science-fiction historian John J. Pierce and translator Dwight R. Decker that put it in the context of its time. The cover by Alan Fletcher Bradford and new illustrations by Donna Barr are supplemented with vintage illustrations from E. C. Kindermann's own works.",124,23326717,0.08361014,0.435431235
"Jupiter, Saturn",Micromegas,"Voltaire, Theo Cuff",1752,"The story is organized into seven brief chapters. The first describes MicromÃ©gas (small/large), an inhabitant of one of the planets that orbits Sirius. His home world is 21.6 million times greater in circumference than the Earth. MicromÃ©gas stands 120,000 feet (37 km) tall. When he is almost 450 years old, approaching the end of his infancy, MicromÃ©gas writes a scientific book examining the insects on his planet, which at 100 feet (30 m) are too small to be detected by ordinary microscopes. This book is considered heresy, and after a 200-year trial, he is banished from the court for a term of 800 years. MicromÃ©gas takes this as an incentive to travel around the Universe in a quest to develop his intellect and his spirit. After extensive celestial travels he arrives on Saturn, where he befriends the secretary of the Academy of Saturn, a man less than a twentieth of his size (a ""dwarf"" standing only 6,000 feet (1.8 km) tall). They discuss the differences between their planets. The Saturnian has 72 senses while the Sirian has 1,000. The Saturnian lives for 15,000 Earth years while the Sirian lives for 10.5 million years; MicromÃ©gas reports that he has visited worlds where people live much longer than this, but still consider their lifespans too short. At the end of their conversation, they decide to take a philosophical journey together. Eventually, they arrive on Earth and circumnavigate it in 36 hours, with the Saturnian only getting his lower legs wet in the deepest ocean and the Sirian barely wetting his ankles. They decide that the planet must be devoid of life, since it is too small for them to see with the naked eye. In the Baltic Sea, the Saturnian happens to spot a tiny speck swimming about, and he picks it up to discover that it is a whale. As they examine it, a boatful of philosophers returning from an Arctic voyage happens to run aground nearby. The space travellers examine the boat and, upon discovering the lifeforms inside it, they conclude that the tiny beings are too small to be of any intelligence or spirit. Yet they gradually realize the beings are speaking to each other, and they devise a hearing tube with the clippings of their fingernails in order to hear the tiny voices. After listening for a while, they learn the human language and begin a conversation, wherein they are shocked to discover the breadth of the human intellect. The final chapter sees the humans testing the philosophies of Aristotle, Descartes, Malebranche, Leibniz and Locke against the travellers' wisdom. When the travellers hear the theory of Aquinas that the universe was made uniquely for mankind, they fall into an enormous fit of laughter. Taking pity on the humans, the Sirian decides to write them a book that will explain the point of everything to them. When the volume is presented to the Academy of Science in Paris, the secretary opens the book only to find blank pages.",38,1156110,0.076461153,0.532430066
Uranus,"A Journey Lately Performed Through the Air in an Aerostatic Globe, Commonly Called an Air Balloon, From This Terraquaeous Globe to the Newly Discovered Planet, Georgium Sidus",Monsieur Vivenair,1784,Satire on the England of George III (1738-1820) set on the planet Georgium Sidus (Georgeâ€™s Star) or Uranus.,15,1,0,0
The Moon,From the Earth to the Moon and Around It,Jules Verne,1865,"Verne's 1865 tale of a trip to the moon is (as you'd expect from Verne) great fun, even if bits of it now seem, in retrospect, a little strange. Our rocket ship gets shot out of a cannon? To the moon? Goodness! But in other ways it's full of eerie bits of business that turned out to be very near reality: he had the cost, when you adjust for inflation, almost exactly right. There are other similarities, too. Verne's cannon was named the Columbiad; the Apollo 11 command module was named Columbia. Apollo 11 had a three-person crew, just as Verne's did; and both blasted off from the American state of Florida. Even the return to earth happened in more-or-less the same place. Coincidence -- or fact!? We say you'll have to read this story yourself to judge.",136,32827,0.086571906,0.491007795
"Jupiter, Saturn",Off On A Comet,Jules Verne,1877,Off on a Comet (French: Hector Servadac) is an 1877 science fiction novel by Jules Verne.  The story starts with a comet that touches the Earth in its flight and collects a few small chunks of it. Some forty people of various nations and ages are condemned to a two-year-long journey on the comet. They form a mini-society and coping with the hostile environment of the comet (mostly the cold). The size of the 'comet' is about 2300 kilometers in diameter - far larger than any comet or asteroid that actually exists.,308,6061634,0.088760072,0.491945653
Mars,"Aleriel, or A Voyage to Other Worlds",W.S. Lach-Szyrma,1883,"First published in 1883, ""Aleriel"" is a visionary tale of space travel, evolution, and Utopian idealism. The titular character, a Venusian explorer, wanders through the Solar System in search of compatible life, including lengthy stays on Mars and, of course, Earth.   W.S. Lach-Szyrma's long-forgotten book addresses all the contemporary thinking of the period - political, religious and scientific - and brings them to life on an interplanetary stage. ",250,21843913,0.149607567,0.536606696
Mars,Mr. Stranger's Sealed Packet,Hugh MacColl,1889,Mr. Stranger senior's invention propels Mr. Stranger junior on a voyage to explore the planet Mars and encounter its inhabitants.,319,15992210,0,0
"Jupiter, Saturn",A Journey in Other Worlds: A Romance of the Future,"John Jacob Astor, S.M. Stirling",1894,"What did our ancestors dream of when they gazed up at the stars and looked beyond the present? Wildly imaginative but grounded in reasoned scientific speculation, A Journey in Other Worlds races far ahead of the nineteenth century to imagine what life would be like in the year 2000. At the beginning of the twenty-first century, Earth is effectively a corporate technocracy, with big businesses using incredible advances in science to improve life on the planet as a whole. Seeking other planets habitable for the growing human population, the spaceship Callisto, powered by an antigravitational force known as apergy, embarks on a momentous tour of the solar system. Jupiter proves to be a wilderness paradise, full of threatening beasts and landscapes of inspired beauty, where the explorers must fight for their lives. Dangers less tangible but equally deadly await the Callisto crew on Saturn, which yields profound secrets about their fate and the ultimate destiny of mankind.Thoughtful, adventurous, and replete with a dazzling array of futuristic devices, A Journey in Other Worlds is a classic, unforgettable story of utopias and humankinds restless exploration of the stars.",234,1132373,0.122986076,0.480073199
Mars,Journey to Mars,Gustavus W. Pope,1894,"God only knows what would have happened next, but at this instant Alas-to my amazement, for I had thought that the bullet had gone through her heart --rose to an upright posture, and made a commanding gesture, which arrested those who were now hurrying to take a part in the scene. All, natives as well as ourselves, stood as motionless as stone. Her face was pale and her eyes were wonderful to look upon. With a gasp of thankfulness, I noticed that the blood on her breast was but a narrow streak Juba, staring at her, slowly withdrew his foot from his prostrate opponent, and Ingra first sat up, and then got upon his feet. ",543,2903684,0.13083451,0.530484751
Venus,Journey to Venus,Gustavus W. Pope,1895,"The book was a sequel to Pope's novel of the previous year, Journey to Mars. The Venus volume features the same hero and heroine, Lt. Frederick Hamilton, USN, and his love interest the Martian princess Suhlamia. They travel to Venus on a Martian ""ethervolt"" spacecraft.[2][3] The publisher promoted the book as ""full of exciting adventures, hairbreadth escapes, and perilous vicissitudes, among primeval monsters and semi-human creatures, the episodes following each other in such breathless succession that the interest of the reader never flags.""[4] Modern critics have noted the book largely for its depiction of giant dinosaur-like Venusian beasts. Pope's pair of novels on Mars and Venus (volumes in a projected Romances of the Planets series that the author never continued) were precursors of popular planetary adventure novels of the twentieth century by Edgar Rice Burroughs, Otis Adelbert Kline, and other writers. ",499,17453907,0.120704438,0.498012601
